radius_bin,step,n_baseline,temporal_lock,lag_margin,collapse_authority,trajectory_alignment,projected_visibility,zp_support_drive,point_selection_pressure,collapse_score_raw,collapse_score_rel,pair_upstream_lag,deficit_slope_lag,curvature_deficit_lag,pair_tail_lag
3,0,0.0036515617930634,1.0,0.19999999999978862,0.5999157984359108,0.24915396392253986,0.001993428662601108,0.34841976551670734,0.0017942780916515209,0.0002145734267482175,0.0014559673763356912,0,0,0,0
3,1,0.0104230102459041,1.0,0.19999999999978932,0.5999314173610422,0.25,0.005690038551241218,0.34960287208698443,0.005129313966323599,0.0006154912923171347,0.004176357042962157,0,0,0,0
3,2,0.0227689462009204,0.9333333333333332,0.1999999999997892,0.5666467582463455,0.2082796335485927,0.012429823879841782,0.29126063234325056,0.010372186357747268,0.000981490721458546,0.006659811013302442,0,0,0,0
3,3,0.0444858140011487,0.8666666666666666,0.0,0.47330788150356395,0.0916979963442316,0.024285306324950857,0.12823153154626066,0.015718676503984307,0.0004955028077102997,0.0033621867061641012,1,0,0,0
3,4,0.0805800285790928,0.9333333333333332,0.0,0.5066577705697568,0.1333124732451067,0.043989544119975695,0.18642569412603427,0.03141187157215963,0.001524740606416217,0.010345980925779999,2,0,0,0
3,5,0.1361451578950452,0.9333333333333332,0.0,0.5189289979817423,0.17517745695776002,0.07432317331665773,0.24497016830930798,0.05806895518006566,0.003734018407580699,0.025336823233259982,2,0,0,0
3,6,0.2142109464445331,0.8,0.0,0.4655972556666881,0.23024025767855333,0.11694016551947999,0.2271068765410951,0.08896699838807837,0.006754720172603418,0.04583350490611887,2,0,3,0
3,7,0.3138657033854662,0.8,0.0,0.4789030235675522,0.26231052845578573,0.17134281844129887,0.2405791159392312,0.13300677753685308,0.011609451696899684,0.07877481934268166,3,0,2,0
3,8,0.4304493175103002,0.9333333333333332,0.0,0.5446351457269613,0.3616868975410934,0.2349871249480507,0.32271401303777136,0.20457464542781006,0.027620227255850904,0.1874143989818667,3,0,0,0
3,9,0.5575495097926133,1.0,0.0,0.5685240222464168,0.37056266039584806,0.3043725497816039,0.3247696103759038,0.26569854168310936,0.03860841826014461,0.2619737135701064,3,0,0,0
3,10,0.6889294606617382,1.0,0.1999999999812397,0.6259707152834311,0.23474374409662857,0.3760943429746273,0.26464116276668115,0.3023392489225794,0.034619638701730175,0.23490823301896285,3,0,0,0
3,11,0.8194628723631544,1.0,0.23240626701367084,0.6322750929639367,0.4149347440747777,0.44735400091250294,0.4354197004212714,0.44735400091250294,0.09335087387789352,0.6334233878742384,3,0,0,0
3,12,0.9453210049589612,0.9333333333333332,0.20026484295956232,0.585304878724291,0.31931289875892005,0.5160613713901236,0.32760573759917366,0.4521705765373129,0.0663934741465382,0.45050654139189583,3,0,0,0
3,13,1.06385237107386,0.9333333333333332,0.0,0.5144256885970884,0.2109190003669714,0.5807689776203006,0.17276211602990488,0.40560077025209346,0.03130972081361821,0.21244910312355522,0,0,0,0
3,14,1.1733991715131349,1.0,0.0,0.5398283653449847,0.21256968512104873,0.6405718083725344,0.1741141790992184,0.4483607644429082,0.03668945447461688,0.24895276912959807,0,0,0,0
3,15,1.273138730405983,0.9333333333333332,0.0,0.5187740978931262,0.2132286911135233,0.6950207556339185,0.17465396579239542,0.48690247601789893,0.03810636804728339,0.2585671000752021,0,0,0,0
3,16,1.362957794568526,0.9333333333333332,0.0,0.5321300332837018,0.3635611016978167,0.744053993217285,0.23773963148638894,0.5751541426499335,0.07742372116627597,0.5253512230332379,0,0,3,0
3,17,1.4432916025147533,0.8666666666666666,0.0,0.5121415177110556,0.35068468354382376,0.7879091227238177,0.2120212311092851,0.5857849517192071,0.07248100924005178,0.49181292603035637,0,0,3,0
3,18,1.514821497788368,0.7333333333333334,0.0,0.4466451206121402,0.24270909095577492,0.8269580972590826,0.1464323995034975,0.5525327689289851,0.0420337553177183,0.2852160091533008,0,1,0,0
3,19,1.5781083373334917,0.7333333333333334,0.0,0.4464586120095218,0.24240165645807923,0.8615070949384699,0.14628617244888742,0.575472051632204,0.04371776319192783,0.2966426828262646,0,2,2,0
3,20,1.633464733540511,0.8,0.0,0.4794213512330048,0.2983516824102925,0.8917267743827553,0.1696999879859345,0.619633686000872,0.06153722548086236,0.417554932538231,0,3,3,0
