radius_bin,onset_target,collapse_score_rel_prev,collapse_score_rel_onset,collapse_score_rel_next,onset_jump_prev_to_onset,onset_jump_onset_to_next,first_post_onset_rel25_cross,first_post_onset_rel50_cross,first_post_onset_rel75_cross,peak_step,peak_delay_from_onset,peak_rel_score,mean_temporal_lock_post_onset_6step,mean_collapse_authority_post_onset_6step,mean_trajectory_alignment_post_onset_6step,mean_projected_visibility_post_onset_6step,immediate_onset_acceleration,quarter_peak_within_8_steps,half_peak_within_12_steps
3,5,0.010345980925779999,0.025336823233259982,0.04583350490611887,2.448953213095243,1.8089680968426878,9,11,22,25,20,0.9999999999932145,0.9111111111111111,0.5337598600787986,0.27245359085427817,0.21301002916361975,True,True,True
5,18,0.004457085078253514,0.009909056422739194,0.019049346624692994,2.223214555374561,1.9224178176093885,35,36,37,42,24,0.9999999999928785,0.9666666666666667,0.5278469989821643,0.17926674825292002,0.3551851448611992,True,False,False
6,31,0.0058190018969185575,0.01708628976482107,0.02300571760422429,2.9362921794084293,1.3464431377164328,38,39,40,45,14,0.9999999999945883,0.9666666666666667,0.5283258922327388,0.20115881593034138,0.3641592192996866,True,True,True
