step,n_r2_baseline,n_r3_baseline,n_r5_baseline,n_r6_baseline,n_r2_corrected,n_r3_corrected,n_r5_corrected,n_r6_corrected
66,2.1884069950810745,1.8329871042942356,0.8286270599756173,0.6700737539339059,2.1884069950810745,1.9825004096315524,0.8721651027567853,0.7253997259026348
67,2.18819929613944,1.8328179955466484,0.8286815983208862,0.6703876714322159,2.18819929613944,1.9823068892655094,0.8722199341160883,0.7256996472171047
68,2.1880215151350693,1.83267252702766,0.828728136769216,0.6706539317650981,2.1880215151350693,1.9821404335612665,0.8722667292714039,0.725954054659361
69,2.1878694317736422,1.832547485889285,0.8287678688252906,0.6708797918364904,2.1878694317736422,1.9819973616014435,0.8723066856720965,0.7261698750567562
70,2.187739401055944,1.8324400761513329,0.828801805481577,0.6710713991049668,2.187739401055944,1.9818744706888303,0.8723408179584706,0.7263529769942707
71,2.1876282794253537,1.8323478690021195,0.8288308040653127,0.6712339620835353,2.1876282794253537,1.9817689791817226,0.8723699867958057,0.7265083332999803
72,2.187533359321189,1.832268758002372,0.8288555923398615,0.6713718944615871,2.187533359321189,1.9816784750086345,0.8723949229757073,0.7266401584202857
73,2.187452311448856,1.8322009189677413,0.8288767886757473,0.6714889369636154,2.187452311448856,1.9816008695898242,0.872416247596109,0.7267520245967969
74,2.187383134059204,1.832142774236204,0.828894918960701,0.671588260411356,2.187383134059204,1.9815343568174046,0.8724344889862288,0.7268469601415288
75,2.1873241085395634,1.83209296098866,0.8289104307991065,0.6716725529110759,2.1873241085395634,1.9814773767050622,0.872450096924592,0.7269275325895612
76,2.187273760647985,1.8320503032752624,0.8289237054542011,0.6717440936293365,2.187273760647985,1.9814285833024765,0.8724634546017928,0.7269959190728916
77,2.187230826762949,1.8320137873998965,0.8289350679071288,0.671804815234831,2.187230826762949,1.9813868164710495,0.8724748887008726,0.7270539658927301
78,2.187194224568155,1.831982540325597,0.8289447953421178,0.6718563567592061,2.187194224568155,1.9813510771307037,0.8724846779037235,0.7271032389589085
79,2.187163027642199,1.8319558107809624,0.82895312431394,0.6719001083563656,2.187163027642199,1.9813205056082759,0.8724930600790806,0.7271450665051623
80,2.1871364434735314,1.831932952768988,0.8289602568102216,0.6719372492094267,2.1871364434735314,1.9812943627432453,0.8725002383642898,0.7271805752700162
81,2.1871137944702035,1.831913411203257,0.8289663653853464,0.6719687796403802,2.1871137944702035,1.9812720134340533,0.8725063863173551,0.7272107211483756
82,2.1870945015806185,1.8318967094206968,0.8289715975131722,0.671995548313864,2.1870945015806185,1.9812529123365024,0.8725116522863665,0.7272363151632142
83,2.1870780701849606,1.831882438344131,0.8289760792814319,0.6720182752884197,2.1870780701849606,1.981236591453566,0.8725161631191403,0.7272580454753813
84,2.1870640779569857,1.8318702470910064,0.8289799185305532,0.6720375715521394,2.1870640779569857,1.9812226493827194,0.8725200273158179,0.7272764960386788
85,2.187052164432218,1.831859834846536,0.828983207522945,0.6720539555813043,2.187052164432218,1.9812107420121143,0.8725233377105297,0.7272921624137503
86,2.187042022051364,1.831850943839792,0.8289860252149562,0.672067867377609,2.187042022051364,1.9812005744803178,0.8725261737544038,0.7273054651752582
87,2.1870333884770896,1.831843353279943,0.8289884391921917,0.6720796803694477,2.1870333884770896,1.9811918942358102,0.8725286034607012,0.7273167612800284
88,2.187026040008369,1.8318368741267956,0.8289905073192749,0.6720897115034936,2.187026040008369,1.9811844850519442,0.8725306850632644,0.7273263537073823
89,2.187019785939712,1.831831344585083,0.8289922791471299,0.6720982298027306,2.187019785939712,1.9811781618706348,0.8725324684314556,0.727334499635148
90,2.1870144637328663,1.8318266262256888,0.8289937971141569,0.6721054636247485,2.1870144637328663,1.9811727663638325,0.8725339962780582,0.7273414173744802
91,2.187009934886452,1.831822600649201,0.8289950975720525,0.6721116068183178,2.187009934886452,1.9811681631158387,0.8725353051909897,0.7273472922524722
92,2.187006081404552,1.8318191666180452,0.8289962116623153,0.6721168239459566,2.187006081404552,1.981164236341984,0.8725364265149554,0.7273522816026559
93,2.1870028027789186,1.8318162375930225,0.828997166065506,0.6721212547145795,2.1870028027789186,1.9811608870701676,0.8725373871051979,0.7273565189990373
94,2.1870000134112404,1.831813739618532,0.8289979836419951,0.6721250177346197,2.1870000134112404,1.9811580307214476,0.8725382099721501,0.7273601178486133
95,2.186997640412221,1.8318116095081416,0.8289986839801119,0.6721282137096486,2.186997640412221,1.9811555950343382,0.8725389148329771,0.7273631744397963
96,2.186995621723087,1.831809793288664,0.8289992838652263,0.6721309281429706,2.186995621723087,1.9811535182849134,0.8725395185835987,0.7273657705293282
97,2.186993904512844,1.831808244866549,0.8289997976812832,0.6721332336344964,2.186993904512844,1.9811517477612839,0.8725400357027719,0.7273679755376974
98,2.186992443811229,1.8318069248853424,0.8290002377546025,0.6721351918300427,2.186992443811229,1.9811502384566848,0.872540478598093,0.7273698484124201
99,2.186991201343031,1.831805799747236,0.8290006146483087,0.6721368550757547,2.186991201343031,1.9811489519502965,0.8725408579023296,0.7273714392095236
100,2.186990144534377,1.8318048407754643,0.8290009374145284,0.6721382678223372,2.186990144534377,1.9811478554492,0.8725411827272597,0.7273727904359247
101,2.1869892456658206,1.8318040234975328,0.8290012138104486,0.6721394678169947,2.1869892456658206,1.981146920968559,0.8725414608811446,0.7273739381889086
102,2.186988481150693,1.8318033270320464,0.8290014504834385,0.6721404871152229,2.186988481150693,1.9811461246303177,0.8725416990550701,0.7273749131234256
103,2.186987830920325,1.8318027335643248,0.8290016531296851,0.6721413529397219,2.186987830920325,1.9811454460634568,0.8725419029826288,0.727375741273258
104,2.1869872779003887,1.831802227898081,0.8290018266301414,0.6721420884095609,2.1869872779003887,1.9811448678912589,0.8725420775767716,0.7273764447481635
105,2.186986807564948,1.831801797072233,0.8290019751670447,0.6721427131592217,2.186986807564948,1.9811443752930709,0.8725422270470998,0.7273770423257521
106,2.186986407556727,1.831801430033458,0.829002102323785,0.6721432438641723,2.186986407556727,1.9811439556298274,0.8725423550003991,0.7273775499540069
107,2.1869860673638164,1.831801117356464,0.8290022111705075,0.6721436946870998,2.1869860673638164,1.9811435981241472,0.8725424645268124,0.7273779811779585
108,2.1869857780444586,1.8318008510050563,0.829002304337489,0.6721440776567934,2.1869857780444586,1.9811432935870923,0.8725425582737066,0.7273783475019688
109,2.186985531992794,1.831800624128111,0.8290023840780357,0.6721444029898548,2.186985531992794,1.981143034184845,0.8725426385089904,0.7273786586973545
110,2.186985322739486,1.8318004308853724,0.8290024523223992,0.6721446793638691,2.186985322739486,1.981142813239499,0.8725427071753894,0.7273789230636034
111,2.1869851447820525,1.8318002662987527,0.8290025107239924,0.6721449141493695,2.1869851447820525,1.9811426250590127,0.8725427659369711,0.7273791476501915
112,2.1869849934404826,1.83180012612542,0.8290025606990052,0.6721451136068151,2.1869849934404826,1.9811424647920808,0.8725428162190242,0.7273793384449487
113,2.186984864734393,1.8318000067494915,0.8290026034603616,0.6721452830538645,2.186984864734393,1.9811423283042848,0.8725428592422418,0.727379500534021
114,2.186984755278504,1.8317999050896303,0.8290026400468258,0.6721454270074276,2.186984755278504,1.9811422120724294,0.8725428960520211,0.7273796382377166
115,2.186984662193712,1.8317998185202145,0.8290026713479486,0.672145549304302,2.186984662193712,1.9811421130943985,0.8725429275435748,0.7273797552258736
116,2.1869845830314434,1.8317997448040908,0.8290026981254492,0.6721456532036243,2.1869845830314434,1.981142028812262,0.8725429544834546,0.7273798546158392
117,2.1869845157093,1.8317996820352265,0.8290027210315395,0.6721457414738797,2.1869845157093,1.981141957046699,0.8725429775279969,0.7273799390556824
118,2.186984458456317,1.8317996285898008,0.8290027406246278,0.6721458164667999,2.186984458456317,1.981141895941073,0.8725429972391293,0.7273800107948672
119,2.1869844097664024,1.831799583084502,0.8290027573827758,0.6721458801801243,2.1869844097664024,1.981141895941073,0.8725429972391293,0.7273800107948672
