radius_bin,domain,step,zp_support_drive,composite_score,normalized_weight,pair_upstream_gated,pair_upstream_raw,pair_upstream_selected_lag,pair_upstream_margin_norm,pair_upstream_persistence,pair_upstream_coherence_gate,residence_deficit_gated,residence_deficit_raw,residence_deficit_selected_lag,residence_deficit_margin_norm,residence_deficit_persistence,residence_deficit_coherence_gate,deficit_slope_gated,deficit_slope_raw,deficit_slope_selected_lag,deficit_slope_margin_norm,deficit_slope_persistence,deficit_slope_coherence_gate,curvature_deficit_gated,curvature_deficit_raw,curvature_deficit_selected_lag,curvature_deficit_margin_norm,curvature_deficit_persistence,curvature_deficit_coherence_gate,pair_tail_gated,pair_tail_raw,pair_tail_selected_lag,pair_tail_margin_norm,pair_tail_persistence,pair_tail_coherence_gate,zp_reserve_relax,residence_donor_gated,residence_donor_raw,residence_donor_selected_lag,residence_donor_margin_norm,residence_donor_persistence,residence_donor_coherence_gate,tail_donor_gated,tail_donor_raw,tail_donor_selected_lag,tail_donor_margin_norm,tail_donor_persistence,tail_donor_coherence_gate,closure_donor_gated,closure_donor_raw,closure_donor_selected_lag,closure_donor_margin_norm,closure_donor_persistence,closure_donor_coherence_gate,curvature_donor_gated,curvature_donor_raw,curvature_donor_selected_lag,curvature_donor_margin_norm,curvature_donor_persistence,curvature_donor_coherence_gate
3,support,6,0.2271068765410951,0.5436204865623401,0.0735009016214463,0.5329460344747875,0.9992738146406014,2.0,0.0,0.6666666666666666,0.5333333333331333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.27050509649946325,0.9180464715843291,3.0,0.0,0.3333333333333333,0.29465294500030703,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,7,0.2405791159392312,0.5777396457119182,0.07811402607508484,0.5330952569342681,0.9997391967778011,3.0,0.0,0.6666666666666666,0.5332343261647189,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.35997184008158273,0.9963769134102096,2.0,0.0,0.3333333333333333,0.36128079167304217,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,8,0.32271401303777136,0.8224034786765165,0.111194111836339,0.6983106998733828,0.9984838358886415,3.0,0.0,1.0,0.6993710611768619,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5220351205472495,0.9966217427590284,0.0,0.0,0.6666666666666666,0.5238046674579441,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,9,0.3247696103759038,0.8033626697531706,0.1086196749671223,0.6915275567508696,0.9913275386305423,3.0,0.0,1.0,0.6975772686655837,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5007485805696023,0.5515664367539965,0.8560784555871954,0.0,0.0,1.0,0.6442942619968982,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,10,0.26464116276668115,0.5684279975130674,0.07685503279739356,0.6735532005701371,0.9728414444398983,3.0,0.0,1.0,0.6923566059194026,0.0,0.0,0.0,0.0,1.0,0.5,0.00964894674529579,0.011221916559301359,0.0,0.9999999999061986,1.0,0.85983055517359,0.17656870587206155,0.3056585967058139,0.0,0.0,1.0,0.5776664153241631,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,11,0.4354197004212714,1.195729179777983,0.16167008966957996,0.6589904026911318,0.9202004822099997,3.0,0.16203133506954248,1.0,0.7161378584680453,0.0,0.0,0.0,0.0,1.0,0.5,0.8190922379175013,0.8856935597898687,0.0,0.9999999999988116,1.0,0.9248031995533889,0.0,0.0,0.0,0.0,1.0,0.5204344067982495,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,12,0.32760573759917366,0.7885560943539347,0.10661773304500718,0.4555972670607603,0.6190317625211332,3.0,0.9999999999982996,0.6666666666666666,0.7359836677931475,0.0,0.0,0.0,0.0,1.0,0.5,0.6725867765116303,0.9740001586508293,0.0,0.0013242147995121646,1.0,0.6905407258283075,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,13,0.17276211602990488,0.4004179644272305,0.05413902186971871,0.0,0.0,0.0,0.0,0.6666666666666666,0.37461613369167557,0.0,0.0,0.0,0.0,1.0,0.5,0.6910484641196195,0.9907330020015109,0.0,0.0,1.0,0.6975123092937663,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,14,0.1741141790992184,0.3883054944848044,0.052501339913946996,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.6964567163968736,0.9961594196979631,0.0,0.0,1.0,0.6991418267249234,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,15,0.17465396579239542,0.370416076053119,0.05008257826549059,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.6986158631695817,0.9984281352600666,0.0,0.0,1.0,0.6997157216404053,0.0,0.0,0.0,0.0,0.6666666666666666,0.39415476782522574,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,16,0.23773963148638894,0.5117952512610559,0.06919793006908406,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.6994735770820564,0.9993362186983694,0.0,0.0,1.0,0.6999381829602026,0.4191415814391655,0.9097692191397,3.0,0.0,0.6666666666666666,0.4607119834583061,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,support,17,0.2120212311092851,0.4253320297815835,0.057507559869786506,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5330636379036509,0.9994943210697205,0.0,0.0,0.6666666666666666,0.5333333333331332,0.525035477555816,0.9955652411107099,3.0,0.0,0.6666666666666666,0.5273742552221452,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
