radius_bin,support_start,support_end,reserve_start,reserve_end,pair_support_raw,pair_support_norm,support_lag_stability,reserve_lag_stability,support_margin_mean,reserve_margin_mean,correlation_deficit_raw,support_coherence,reserve_coherence,zp_support_coherence,zp_reserve_coherence,reserve_mass,transport_fraction,actual_transport,zp_added,zp_removed,baseline_final_n,coherence_gated_final_n,post_onset_centroid_baseline,post_onset_centroid_coherence_gated,support_strengths,reserve_strengths,support_channel_weights,reserve_channel_weights
3,6,17,19,119,0.15899233739180108,1.0,0.9277777777777778,0.9834983498349835,0.052722592496206075,0.0026903886593764303,1.2388467622783543,0.5154530037286404,0.07033592338153881,0.5960010799500325,0.17614057584862614,0.36444132801943385,0.004291887371749646,0.0015641411334702787,0.0015641411334702787,0.0015641411334702787,1.831799583084502,1.8317995830845024,13.118305244621798,13.107067776415118,"{'pair_upstream_slope_gated': 4.244020418355337, 'residence_deficit_gated': 0.0, 'deficit_local_slope_gated': 4.81998621984621, 'curvature_deficit_gated': 2.8248242587493353, 'pair_tail_gated': 0.0, 'zp_drive_support': 3.1141273401983205}","{'residence_donor_gated': 0.0, 'tail_donor_gated': 12.352778421205548, 'closure_donor_gated': 0.0, 'curvature_donor_gated': 12.68238670998188, 'zp_relax_reserve': 6.843469374979501}","{'pair_upstream_slope_gated': 0.2828789063643681, 'residence_deficit_gated': 0.0, 'deficit_local_slope_gated': 0.3212690553194369, 'curvature_deficit_gated': 0.18828448457281768, 'pair_tail_gated': 0.0, 'zp_drive_support': 0.20756755374331068}","{'residence_donor_gated': 0.0, 'tail_donor_gated': 0.3874939630433516, 'closure_donor_gated': 0.0, 'curvature_donor_gated': 0.397833436295023, 'zp_relax_reserve': 0.21467260066159408}"
5,19,30,32,119,0.05588230166910839,0.35147795538975535,0.9333333333333332,0.9715909090909091,0.0172261633424905,0.0,0.3980946159800234,0.5981757386330139,0.09381787174533146,0.6402723171440438,0.9547957422238201,0.1282072964343951,0.003831694681007908,0.0004912512158140759,0.000491251215814076,0.0004912512158140759,0.8290027573827758,0.8290027573827756,26.22819010702453,26.21861952179367,"{'pair_upstream_slope_gated': 0.0, 'residence_deficit_gated': 0.0, 'deficit_local_slope_gated': 6.041080827225897, 'curvature_deficit_gated': 4.094506561614404, 'pair_tail_gated': 0.0, 'zp_drive_support': 2.1244461910486345}","{'residence_donor_gated': 0.0, 'tail_donor_gated': 58.757232041994826, 'closure_donor_gated': 0.0, 'curvature_donor_gated': 58.970579178040836, 'zp_relax_reserve': 32.34847969350406}","{'pair_upstream_slope_gated': 0.0, 'residence_deficit_gated': 0.0, 'deficit_local_slope_gated': 0.4927458630402977, 'curvature_deficit_gated': 0.3339718879996055, 'pair_tail_gated': 0.0, 'zp_drive_support': 0.17328224896001523}","{'residence_donor_gated': 0.0, 'tail_donor_gated': 0.3915157529835609, 'closure_donor_gated': 0.0, 'curvature_donor_gated': 0.3929373441939202, 'zp_relax_reserve': 0.2155469028225124}"
6,32,43,45,119,0.08341645032626382,0.5246570475953356,0.961111111111111,0.9866666666666668,0.027460190885300835,0.0,0.31839206049126184,0.5934385431222299,0.07789830908626498,0.5875769776305912,0.9806469885998296,0.07913211397917974,0.004770164952154882,0.0003774732366934086,0.0003774732366934086,0.00037747323669340866,0.6721458801801243,0.6721458801801247,38.506650399355586,38.49904378943712,"{'pair_upstream_slope_gated': 3.3090102962514925, 'residence_deficit_gated': 0.0, 'deficit_local_slope_gated': 6.961402173438785, 'curvature_deficit_gated': 4.903593070702396, 'pair_tail_gated': 3.4134334007225156, 'zp_drive_support': 3.6340431076530786}","{'residence_donor_gated': 0.0, 'tail_donor_gated': 51.49999155862793, 'closure_donor_gated': 0.0, 'curvature_donor_gated': 51.44123423123243, 'zp_relax_reserve': 28.31618175813603}","{'pair_upstream_slope_gated': 0.148910423210713, 'residence_deficit_gated': 0.0, 'deficit_local_slope_gated': 0.31327353225858945, 'curvature_deficit_gated': 0.2206690381829857, 'pair_tail_gated': 0.15360961943182222, 'zp_drive_support': 0.1635373869158448}","{'residence_donor_gated': 0.0, 'tail_donor_gated': 0.39235874394209513, 'closure_donor_gated': 0.0, 'curvature_donor_gated': 0.3919110943313559, 'zp_relax_reserve': 0.2157301617265414}"
