radius_bin,onset_target,baseline_first_persist,coherence_gated_first_persist,target_final_n,baseline_final_n,coherence_gated_final_n,coherence_gated_minus_target,post_onset_centroid_baseline,post_onset_centroid_coherence_gated
2,4,4,4,2.1869844097664024,2.1869844097664024,2.1869844097664024,0.0,11.692398473343264,11.692398473343264
3,5,5,5,1.8317995830845024,1.831799583084502,1.8317995830845024,0.0,13.118305244621798,13.10706777641512
5,18,18,18,0.8290027573827758,0.8290027573827758,0.8290027573827756,-2.220446049250313e-16,26.22819010702453,26.21861952179365
6,31,31,31,0.6721458801801243,0.6721458801801243,0.6721458801801247,3.3306690738754696e-16,38.506650399355586,38.49904378943717
