radius_bin,step,n_baseline,visible_fraction,top1_name,top2_name,top1_prob,top2_prob,dual_branch_coherence,coherence_climb,internal_inconsistency,interpolation_trigger,effective_lag,interpolated_event,structural_admissibility,collapse_prob,readout_score
3,0,0.0036515617930634,0.001993428662601108,traj_flux@0,flux_res@0,0.3391238993917089,0.33643250630162846,0.4413114315734627,0.0,0.20024997717819998,0.0,0.0,0.0,0.857529039598602,0.0,0.0
3,1,0.0104230102459041,0.005690038551241218,traj_flux@0,pair_upstream@0,0.33545577577246793,0.332360227939952,0.4362241722044934,0.5537104535538692,0.20033822804884682,0.17447137168935337,0.0,1.0,0.8548340088252123,0.396094637795372,0.20882503472372985
3,2,0.0227689462009204,0.012429823879841782,traj_flux@0,flux_res@0,0.45001301723901216,0.42600214091055955,0.6042747870187776,0.8524273465323416,0.20112480009712919,0.37352989917132196,0.0,2.0,0.8478735017201215,0.8411034783490685,0.45512679890525326
3,3,0.0444858140011487,0.024285306324950857,traj_flux@0,flux_res@0,0.5099955674746232,0.44225552794710976,0.6871033451958373,0.0,0.2024454484967439,0.0,0.0,3.0,0.834431520421642,0.0,0.0
3,4,0.0805800285790928,0.043989544119975695,traj_flux@0,flux_res@0,0.499184243050976,0.37987583591898916,0.5962714842389045,0.0,0.20429113762856352,0.0,0.0,4.0,0.8112085517099336,0.0,0.0
3,5,0.1361451578950452,0.07432317331665773,traj_flux@0,pair_upstream@2,0.42424709015267215,0.3068994067896692,0.4659081234418198,0.0,0.4488229905039901,0.0,0.8394865837024874,5.839486583702487,0.6214495804096994,0.0,0.0
3,6,0.2142109464445331,0.11694016551947999,flux_res@0,traj_flux@0,0.45744862335518927,0.3038821468104579,0.48113822340770207,0.0,0.22018480571354707,0.0,0.0,6.0,0.6582178390102261,0.0,0.0
3,7,0.3138657033854662,0.17134281844129887,traj_flux@1,flux_res@0,0.42547622581151956,0.24990661863973984,0.3905895390276911,0.2571000810790369,0.3536699453708442,0.12805273949181417,0.6132653271410667,7.613265327141066,0.5071812990690556,0.17248252507653902,0.1498478403017512
3,8,0.4304493175103002,0.2349871249480507,traj_flux@1,pair_upstream@3,0.5287129671918391,0.317338435238937,0.5568057345211187,0.8634516796725561,0.4593150418571264,0.7961965723992181,1.750633497256566,9.750633497256565,0.4729189325291013,1.0,1.0
3,9,0.5575495097926133,0.3043725497816039,traj_flux@1,pair_upstream@3,0.5396487921154628,0.3796014991148939,0.6447133000677986,0.7186080975780865,0.46121077695494794,0.7704173957389544,1.8267028361259054,10.826702836125905,0.41709408020634986,0.8534009110437132,0.9754940176853627
3,10,0.6889294606617382,0.3760943429746273,traj_flux@1,pair_upstream@3,0.5461672134295001,0.4487857958120892,0.7683003633110848,0.0,0.4632644968175063,0.0,1.8996554311997318,11.899655431199731,0.3591644085944779,0.0,0.0
3,11,0.8194628723631544,0.44735400091250294,pair_upstream@3,traj_flux@1,0.43655700408708675,0.3927091543914633,0.5528504618012897,0.028696997308992788,0.4780502908228255,0.02734548420804834,2.0947412976421185,13.094741297642118,0.27677592263491246,0.020100502783281446,0.028902140521309017
3,12,0.9453210049589612,0.5160613713901236,def_slope@0,traj_flux@2,0.7022268757671501,0.28565729705968695,0.7767462197016642,0.6630217368050637,0.4754555492409964,0.8828455515643593,0.5325634839221219,12.532563483922122,0.2593540970894267,0.6080941730096598,0.9605150985400309
3,13,1.06385237107386,0.5807689776203006,traj_flux@2,def_slope@0,0.549337604819911,0.43719396326363774,0.7479853852426834,0.0,0.4609385323269496,0.0,1.1153768460891254,14.115376846089125,0.24196680544434404,0.0,0.0
3,14,1.1733991715131349,0.6405718083725344,traj_flux@2,def_slope@0,0.5393861007087202,0.4463443562013882,0.7454523038219795,0.1221305309292886,0.4578199153519977,0.15028190253955276,1.0949896258739686,15.094989625873968,0.20958727237685357,0.0836497381710364,0.15360428094013534
3,15,1.273138730405983,0.6950207556339185,def_slope@0,traj_flux@2,0.7433686396712096,0.24172542535432606,0.7839298052817362,0.0,0.4674525785065057,0.0,0.4454315406658444,15.445431540665844,0.17207635707707297,0.0,0.0
3,16,1.362957794568526,0.744053993217285,def_slope@0,traj_flux@3,0.6882077699241174,0.26046407971516067,0.7079124085661593,0.0,0.5915449059697759,0.0,0.7500842805235781,16.750084280523577,0.13065993554425573,0.0,0.0
3,17,1.4432916025147533,0.7879091227238177,traj_flux@3,curv_def@3,0.6828745549456157,0.16606005809378543,0.6069962678336013,0.0,0.2138589805397552,0.0,2.999999999995989,19.99999999999599,0.1702748206107469,0.0,0.0
3,18,1.514821497788368,0.8269580972590826,traj_flux@3,def_slope@1,0.7344471995103002,0.12856257266538443,0.6359432483038594,0.0,0.460928412379768,0.0,2.737018676686467,20.737018676686468,0.10206605516869684,0.0,0.0
3,19,1.5781083373334917,0.8615070949384699,traj_flux@0,def_slope@2,0.645690018183362,0.17068085829929572,0.5623969519841631,0.0,0.45901045946306424,0.0,0.37218671873042763,19.37218671873043,0.0869213293608805,0.0,0.0
3,20,1.633464733540511,0.8917267743827553,curv_def@3,traj_flux@0,0.46740382178224843,0.39365489117387037,0.5766614103384822,0.46366328941742085,0.5696328498887145,0.5491443576105466,1.6254050572930376,21.625405057293037,0.07223821219955365,0.10535290385160025,0.2480153078274569
