radius_bin,onset_target,collapse_prob_prev,collapse_prob_onset,collapse_prob_next,readout_prev,readout_onset,readout_next,jump_prev_to_onset,jump_onset_to_next,first_threshold_cross,threshold_cross_offset_from_onset,threshold,leader_before_onset,leader_at_onset,leader_after_onset,winner_prob_at_onset,winner_prob_margin_at_onset,entropy_rejection_at_onset,winner_lock_stability_at_onset,chosen_alignment_at_onset,chosen_future_alignment_at_onset,chosen_retro_admissibility_at_onset,peak_step,peak_delay_from_onset,exact_or_near_immediate,within_4_steps,leader_locked_at_onset
3,5,0.04703548905995752,0.029606047566553224,0.0198942425392486,0.08392625269276144,0.05621176607148967,0.03861636073466175,0.6697757169809645,0.6869800298546535,7,2,0.09269938385407528,traj_flux@0,traj_flux@0,flux_res@0,0.42424709015267215,0.1604981817646547,0.6372295092573789,0.6666666666666666,0.999968179466595,0.9492390122251868,0.9330403361090673,41,36,False,True,True
5,18,0.30433860092807746,0.25052331995015625,0.29619929294052194,0.28623151570209054,0.25105328110601854,0.3055064508806414,0.8770986678016178,1.2168988572207136,19,1,0.29481846117315325,traj_flux@0,traj_flux@0,traj_flux@1,0.7411407963790477,0.6585025305125644,0.744737371818246,0.6666666666666666,0.9974167004205485,0.8648591060799021,0.827117021246591,20,2,True,True,True
6,31,0.24415285925820998,0.14630465962925865,0.19873420281015036,0.22144172005634652,0.14191662026344556,0.19896043032110342,0.6408757131523977,1.4019529914844586,33,2,0.2874018885483859,traj_flux@0,traj_flux@0,traj_flux@1,0.6263345353935442,0.4747874064607177,0.6937221857561424,0.6666666666666666,0.9982421764915752,0.8739536001835457,0.8220031659166,33,2,False,True,True
