radius_bin,support_start,support_end,reserve_start,reserve_end,pair_support_raw,pair_support_norm,correlation_deficit_raw,support_coherence,reserve_coherence,causal_alignment,reserve_alignment,zp_support_coherence,zp_reserve_coherence,reserve_mass,transport_fraction,actual_transport,zp_added,zp_removed,baseline_final_n,lag_tensor_final_n,post_onset_centroid_baseline,post_onset_centroid_lag_tensor,support_strengths,reserve_strengths,support_channel_weights,reserve_channel_weights,lag_strengths
3,6,17,19,119,0.15899233739180108,1.0,1.3982780087993374,0.6711982757202813,0.0565897764802376,0.2777777777777778,0.022277227722772276,0.7491346841278577,0.19819767431087087,0.36444132801943385,0.012321805977767544,0.004490575334135403,0.004490575334135403,0.004490575334135403,1.831799583084502,1.8317995830845017,13.118305244621798,13.085831280976516,"{'pair_upstream_slope_lagbest': 6.500898075108617, 'residence_deficit_lagbest': 0.0, 'deficit_local_slope_lagbest': 6.85506673172763, 'curvature_deficit_lagbest': 5.978116640296987, 'pair_tail_lagbest': 0.0, 'zp_drive_support': 4.885798505264472}","{'residence_donor_lagbest': 0.0, 'tail_donor_lagbest': 19.900978688713323, 'closure_donor_lagbest': 0.0, 'curvature_donor_lagbest': 20.301282059608567, 'zp_relax_reserve': 11.005583784426616}","{'pair_upstream_slope_lagbest': 0.26841165554434454, 'residence_deficit_lagbest': 0.0, 'deficit_local_slope_lagbest': 0.28303471136935643, 'curvature_deficit_lagbest': 0.24682684852469394, 'pair_tail_lagbest': 0.0, 'zp_drive_support': 0.20172678456156382}","{'residence_donor_lagbest': 0.0, 'tail_donor_lagbest': 0.3886314464180548, 'closure_donor_lagbest': 0.0, 'curvature_donor_lagbest': 0.3964486739258292, 'zp_relax_reserve': 0.21491987965609632}","{'support_pair_upstream': {'lag_0': 15.309907243916, 'lag_1': 14.437245373978831, 'lag_2': 15.464109316759188, 'lag_3': 16.4298834665607}, 'support_residence_deficit': {'lag_0': 0.0, 'lag_1': 0.0, 'lag_2': 0.0, 'lag_3': 0.0}, 'support_deficit_slope': {'lag_0': 17.502735945033464, 'lag_1': 16.459474902645884, 'lag_2': 15.432613522918617, 'lag_3': 14.407595751109932}, 'support_curvature_deficit': {'lag_0': 16.348326439609814, 'lag_1': 17.378988539817243, 'lag_2': 18.44728735950867, 'lag_3': 19.55318666750317}, 'support_pair_tail': {'lag_0': 3.376303456349625, 'lag_1': 4.450451530943809, 'lag_2': 5.497695693279226, 'lag_3': 6.524048657555948}, 'reserve_residence_donor': {'lag_0': 9.798754527638305, 'lag_1': 6.919598856791313, 'lag_2': 7.007436890819041}, 'reserve_tail_donor': {'lag_0': 27.11552356363223, 'lag_1': 25.80928291155479, 'lag_2': 24.50369198545426}, 'reserve_closure_donor': {'lag_0': 10.18999251699278, 'lag_1': 7.293926382318264, 'lag_2': 7.360382804603774}, 'reserve_curvature_donor': {'lag_0': 24.69731143836017, 'lag_1': 22.27321470463567, 'lag_2': 23.448567332859053}}"
5,19,30,32,119,0.05588230166910839,0.35147795538975535,0.42923756680045816,0.7163025220925026,0.08515309428577172,0.08333333333333333,0.056818181818181816,0.7370181583288856,0.9980221876854719,0.1282072964343951,0.010957457192080225,0.001404825962392224,0.001404825962392224,0.001404825962392224,0.8290027573827758,0.8290027573827761,26.22819010702453,26.203359719305194,"{'pair_upstream_slope_lagbest': 0.0, 'residence_deficit_lagbest': 0.0, 'deficit_local_slope_lagbest': 9.80272914724167, 'curvature_deficit_lagbest': 7.2332243504723195, 'pair_tail_lagbest': 0.0, 'zp_drive_support': 3.5356659393812655}","{'residence_donor_lagbest': 0.0, 'tail_donor_lagbest': 87.98730088312384, 'closure_donor_lagbest': 0.0, 'curvature_donor_lagbest': 87.39568981494335, 'zp_relax_reserve': 48.30427382549104}","{'pair_upstream_slope_lagbest': 0.0, 'residence_deficit_lagbest': 0.0, 'deficit_local_slope_lagbest': 0.4765171345511414, 'curvature_deficit_lagbest': 0.35161181027045635, 'pair_tail_lagbest': 0.0, 'zp_drive_support': 0.1718710551783538}","{'residence_donor_lagbest': 0.0, 'tail_donor_lagbest': 0.3933496217164247, 'closure_donor_lagbest': 0.0, 'curvature_donor_lagbest': 0.3907048083452183, 'zp_relax_reserve': 0.21594556993835262}","{'support_pair_upstream': {'lag_0': 15.30990724391606, 'lag_1': 14.437245373978879, 'lag_2': 15.464109316759245, 'lag_3': 16.42988346656076}, 'support_residence_deficit': {'lag_0': 0.0, 'lag_1': 0.0, 'lag_2': 0.0, 'lag_3': 0.0}, 'support_deficit_slope': {'lag_0': 98.76401600369309, 'lag_1': 97.76627524885487, 'lag_2': 96.75116368957337, 'lag_3': 95.74143982108222}, 'support_curvature_deficit': {'lag_0': 96.94021001096299, 'lag_1': 96.94544212214832, 'lag_2': 96.92677849948294, 'lag_3': 96.884522032376}, 'support_pair_tail': {'lag_0': 86.24610601469902, 'lag_1': 86.25276803140969, 'lag_2': 86.25074834197346, 'lag_3': 86.24324768143164}, 'reserve_residence_donor': {'lag_0': 20.01578212761713, 'lag_1': 17.13726838774378, 'lag_2': 17.22986041445952}, 'reserve_tail_donor': {'lag_0': 97.96341867216265, 'lag_1': 96.88156338163643, 'lag_2': 95.82084551360157}, 'reserve_closure_donor': {'lag_0': 20.36121983983501, 'lag_1': 17.485599520503538, 'lag_2': 17.549987810938607}, 'reserve_curvature_donor': {'lag_0': 109.50111917175467, 'lag_1': 105.45523025471257, 'lag_2': 105.50621116517107}}"
6,32,43,45,119,0.08341645032626382,0.5246570475953356,0.34433011643195593,0.6028335613097652,0.0867263428665174,0.25,0.023333333333333334,0.5943006443733387,0.9997586303059658,0.07913211397917974,0.013426449648039782,0.0010624633438844017,0.001062463343884402,0.001062463343884402,0.6721458801801243,0.6721458801801244,38.506650399355586,38.48520887497887,"{'pair_upstream_slope_lagbest': 4.932401161018913, 'residence_deficit_lagbest': 0.0, 'deficit_local_slope_lagbest': 9.708914048931423, 'curvature_deficit_lagbest': 7.4643084762946685, 'pair_tail_lagbest': 5.0676699261459, 'zp_drive_support': 5.273215190033675}","{'residence_donor_lagbest': 0.0, 'tail_donor_lagbest': 74.9999908893023, 'closure_donor_lagbest': 0.0, 'curvature_donor_lagbest': 74.9336473317715, 'zp_relax_reserve': 41.24004345548664}","{'pair_upstream_slope_lagbest': 0.1520163907634397, 'residence_deficit_lagbest': 0.0, 'deficit_local_slope_lagbest': 0.2992283116821992, 'curvature_deficit_lagbest': 0.23004966487293277, 'pair_tail_lagbest': 0.1561853682627038, 'zp_drive_support': 0.16252026441869358}","{'residence_donor_lagbest': 0.0, 'tail_donor_lagbest': 0.39231336777931375, 'closure_donor_lagbest': 0.0, 'curvature_donor_lagbest': 0.3919663348773527, 'zp_relax_reserve': 0.2157202973433284}","{'support_pair_upstream': {'lag_0': 13.49858371637338, 'lag_1': 12.64163673815721, 'lag_2': 13.761314121035387, 'lag_3': 14.866055370419994}, 'support_residence_deficit': {'lag_0': 0.0, 'lag_1': 0.0, 'lag_2': 0.0, 'lag_3': 0.0}, 'support_deficit_slope': {'lag_0': 85.68573755875157, 'lag_1': 84.6847431610905, 'lag_2': 83.6686412420978, 'lag_3': 82.65822548476339}, 'support_curvature_deficit': {'lag_0': 84.85445351164033, 'lag_1': 84.86248846635043, 'lag_2': 84.85011735632823, 'lag_3': 84.83001965809795}, 'support_pair_tail': {'lag_0': 80.9765451846738, 'lag_1': 80.99223090196452, 'lag_2': 81.01683180023504, 'lag_3': 81.05462399391354}, 'reserve_residence_donor': {'lag_0': 33.16173401731709, 'lag_1': 30.27392631979723, 'lag_2': 30.36055932473149}, 'reserve_tail_donor': {'lag_0': 84.74488590809304, 'lag_1': 83.69239808588418, 'lag_2': 82.66541757784591}, 'reserve_closure_donor': {'lag_0': 33.50851741169596, 'lag_1': 30.66799994940277, 'lag_2': 30.757434298010686}, 'reserve_curvature_donor': {'lag_0': 110.6475991978591, 'lag_1': 106.51981480456413, 'lag_2': 106.61875106943731}}"
