radius_bin,domain,step,pair_upstream_slope_lagbest,pair_upstream_selected_lag,residence_deficit_lagbest,residence_deficit_selected_lag,deficit_local_slope_lagbest,deficit_local_slope_selected_lag,curvature_deficit_lagbest,curvature_deficit_selected_lag,pair_tail_lagbest,pair_tail_selected_lag,zp_support_drive,composite_score,normalized_weight,residence_donor_lagbest,residence_donor_selected_lag,tail_donor_lagbest,tail_donor_selected_lag,closure_donor_lagbest,closure_donor_selected_lag,curvature_donor_lagbest,curvature_donor_selected_lag,zp_reserve_relax
3,support,6,0.9992738146406014,2.0,0.0,0.0,0.0,0.0,0.9180464715843291,3.0,0.0,0.0,0.4874528058618598,1.7182819517371521,0.1226205816112937,,,,,,,,,
3,support,7,0.9997391967778011,3.0,0.0,0.0,0.0,0.0,0.9963769134102097,2.0,0.0,0.0,0.4993652558837618,1.7397986059320951,0.12415605991218932,,,,,,,,,
3,support,8,0.9984838358886415,3.0,0.0,0.0,0.0,0.0,0.9966217427590284,0.0,0.0,0.0,0.4989626039748788,1.6737108436594497,0.11943988406045092,,,,,,,,,
3,support,9,0.9913275386305423,3.0,0.0,0.0,0.0,0.0,0.8560784555871954,0.0,0.0,0.0,0.47537640685876914,1.473102151107741,0.1051239829173918,,,,,,,,,
3,support,10,0.9728414444398983,3.0,0.0,0.0,0.011221916559301359,0.0,0.30565859670581397,0.0,0.0,0.0,0.38914877419966176,0.9692716649587276,0.06916947196961959,,,,,,,,,
3,support,11,0.9202004822099997,3.0,0.0,0.0,0.8856935597898687,0.0,0.0,0.0,0.0,0.0,0.543493558720967,1.4810792115970288,0.1056932444380381,,,,,,,,,
3,support,12,0.6190317625211332,3.0,0.0,0.0,0.9740001586508296,0.0,0.0,0.0,0.0,0.0,0.46016115654510403,1.1780440340879865,0.08406795198980282,,,,,,,,,
3,support,13,0.0,0.0,0.0,0.0,0.9907330020015109,0.0,0.0,0.0,0.0,0.0,0.24768325050037773,0.5982410389781387,0.042691866762076924,,,,,,,,,
3,support,14,0.0,0.0,0.0,0.0,0.9961594196979631,0.0,0.0,0.0,0.0,0.0,0.24903985492449077,0.5744785880935223,0.04099612320553447,,,,,,,,,
3,support,15,0.0,0.0,0.0,0.0,0.9984281352600666,0.0,0.0,0.0,0.0,0.0,0.24960703381501664,0.550788235902699,0.03930552477884535,,,,,,,,,
3,support,16,0.0,0.0,0.0,0.0,0.9993362186983694,0.0,0.9097692191397,3.0,0.0,0.0,0.38629943754554735,1.023290344155631,0.07302437008706861,,,,,,,,,
3,support,17,0.0,0.0,0.0,0.0,0.9994943210697205,0.0,0.9955652411107099,3.0,0.0,0.0,0.39920836643403657,1.0329112226239436,0.07371093826768844,,,,,,,,,
3,reserve,19,,,,,,,,,,,,0.0854533611684847,0.17496075642482314,0.0,0.0,0.9982619710800812,1.0,0.0,0.0,0.9960265763804329,1.0,0.5487087748890974
3,reserve,20,,,,,,,,,,,,0.07429834999169103,0.15212152381030825,0.0,0.0,0.9977094906513014,2.0,0.0,0.0,0.9862213731129496,1.0,0.547017002227463
3,reserve,21,,,,,,,,,,,,0.06353246445072663,0.13007900316426402,0.0,0.0,0.9969995280529871,0.0,0.0,0.0,0.9749987893407864,1.0,0.5450496296223128
3,reserve,22,,,,,,,,,,,,0.05395599041690939,0.11047173297701163,0.0,0.0,0.9974212730740197,0.0,0.0,0.0,0.9801156180908654,2.0,0.5459858519432377
3,reserve,23,,,,,,,,,,,,0.04522056864073506,0.0925864680705097,0.0,0.0,0.9980802485340458,0.0,0.0,0.0,0.9901898416029251,2.0,0.5477605756540571
3,reserve,24,,,,,,,,,,,,0.037254751731989576,0.07627692409425993,0.0,0.0,0.9986406702066529,0.0,0.0,0.0,0.9959417735196071,2.0,0.5488475341106023
3,reserve,25,,,,,,,,,,,,0.030225494772130292,0.06188493180765341,0.0,0.0,0.9990217596098115,0.0,0.0,0.0,0.9979944720047982,2.0,0.5493078746446444
3,reserve,26,,,,,,,,,,,,0.024202759355792823,0.04955373348168753,0.0,0.0,0.9992901346994181,0.0,0.0,0.0,0.9983426210556348,2.0,0.5494674470381125
3,reserve,27,,,,,,,,,,,,0.019153864913515423,0.039216417562793954,0.0,0.0,0.9995531253248622,0.0,0.0,0.0,0.9983818264139673,2.0,0.54957852409204
3,reserve,28,,,,,,,,,,,,0.015002854816445315,0.0307174672982336,0.0,0.0,0.9998195975884704,0.0,0.0,0.0,0.9990500173633404,2.0,0.5497853416398892
3,reserve,29,,,,,,,,,,,,0.01166172005854965,0.02387668939827332,0.0,0.0,0.9999337383730403,0.0,0.0,0.0,0.9979061227727973,1.0,0.5496594137651358
3,reserve,30,,,,,,,,,,,,0.009045182816649492,0.01851948251024975,0.0,0.0,0.9999083368996148,0.0,0.0,0.0,0.9848745243050648,1.0,0.5476945134056056
3,reserve,31,,,,,,,,,,,,0.006997069667282337,0.01432609068859417,0.0,0.0,0.999892442370922,2.0,0.0,0.0,0.9373136601077015,1.0,0.5405540259645241
3,reserve,32,,,,,,,,,,,,0.005316242547997411,0.01088469552065426,0.0,0.0,0.9996582995963645,2.0,0.0,0.0,0.8537546201978231,2.0,0.5279265128682193
3,reserve,33,,,,,,,,,,,,0.0038025115712655723,0.007785419926444359,0.0,0.0,0.9935001180643788,2.0,0.0,0.0,0.7732319490518605,2.0,0.5133848395835305
3,reserve,34,,,,,,,,,,,,0.002275982923985805,0.004659941850682834,0.0,0.0,0.97047895084574,0.0,0.0,0.0,0.6946483423046736,1.0,0.49238883168399705
3,reserve,35,,,,,,,,,,,,0.0010152775659393973,0.002078721404154922,0.0,0.0,0.9755212679113793,0.0,0.0,0.0,0.8186052208644617,2.0,0.512999290294221
3,reserve,36,,,,,,,,,,,,1.268942093836151e-12,2.5980846810593484e-12,0.0,0.0,0.9841112593829553,0.0,0.0,0.0,0.908016166642186,2.0,0.52984692874951
3,reserve,37,,,,,,,,,,,,1.2869533191402547e-12,2.634961610886962e-12,0.0,0.0,0.9931764764472775,0.0,0.0,0.0,0.9196724642863668,2.0,0.535221460221866
3,reserve,38,,,,,,,,,,,,1.2722168010838762e-12,2.604789452519446e-12,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.8909301020433501,2.0,0.5336395153065027
3,reserve,39,,,,,,,,,,,,4.0436960149880123e-13,8.279230961312592e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.8457072705594358,2.0,0.12685609058391537
3,reserve,40,,,,,,,,,,,,3.5924806775902415e-13,7.355393962251274e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.7593587075875373,2.0,0.11390380613813059
3,reserve,41,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,42,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,43,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,44,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,45,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,46,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,47,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,48,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,49,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,50,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,51,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,52,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,53,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,54,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,55,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,56,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,57,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,58,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,59,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,60,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,61,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,62,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,63,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,64,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,65,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,66,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,67,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,68,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,69,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,70,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,71,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,72,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,73,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,74,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,75,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,76,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,77,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,78,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve,79,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
