step,n_r2_baseline,n_r2_adaptive,n_r3_baseline,n_r3_adaptive,n_r5_baseline,n_r5_adaptive,n_r6_baseline,n_r6_adaptive
37,2.258720113977397,2.258720113977397,1.8776479946381737,1.8778419282167027,0.7802446990014954,0.7802829725965011,0.4203503447965633,0.4203973054559119
38,2.253709703661785,2.253709703661785,1.8755739508509588,1.8757665970947057,0.7881542098201568,0.7881921548998848,0.4579765393962184,0.4580264509915666
39,2.24835171952551,2.24835171952551,1.8729575539427628,1.873148874302908,0.7948218249212539,0.7948594346623642,0.4903639428581802,0.4904161421448163
40,2.242877858057468,2.242877858057468,1.8700039318087456,1.8701938891700518,0.8004139791274028,0.8004512519748447,0.5180577072552912,0.5181116792708089
41,2.23747006928731,2.23747006928731,1.86688293606176,1.8670714946180107,0.805088913764513,0.8051258512706667,0.541638322439449,0.5416936676558234
42,2.232261483706941,2.232261483706941,1.86372683071838,1.8639139558571747,0.8089896202109639,0.809026225500564,0.5616627399051173,0.5617191485446568
43,2.227342545617914,2.227342545617914,1.860633283784047,1.8608189419804364,0.8122412742411285,0.8122775509732284,0.5786382645065565,0.5786954964988146
44,2.222768907257131,2.222768907257131,1.857670571856589,1.8578547305750703,0.814951235676437,0.8149871873772124,0.5930137662009446,0.5930709981932026
45,2.2185692544981204,2.2185692544981204,1.854883266945291,1.855065894549691,0.8172103533087189,0.8172459829694265,0.6051796161426701,0.6052368481349282
46,2.2147522313730867,2.2147522313730867,1.8522975469938785,1.8524786126646555,0.8190948221640548,0.8191301320222876,0.6154717045134646,0.6155287698545719
47,2.211312184826688,2.211312184826688,1.8499257756815648,1.8501052493400651,0.8206681731966281,0.820703164640316,0.6241770910216735,0.6242338698755023
48,2.208233731939466,2.208233731939466,1.8477702656972068,1.847948117936408,0.8219831783397608,0.8220178518904925,0.6315400328058568,0.6315964401090731
49,2.2054952770005367,2.2054952770005367,1.8458262701395955,1.8460024721608836,0.82308357138212,0.8231179267273782,0.6377677763776595,0.6378237526325736
50,2.2030716478520525,2.2030716478520525,1.8440843008250007,1.8442588243805393,0.8240055503161942,0.8240395863696613,0.6430358413713679,0.6430913456500185
51,2.200936021739363,2.200936021739363,1.8425318866205944,1.8427047039608566,0.8247790610902881,0.8248127760662537,0.6474927020596148,0.647547706721105
52,2.1990612934692084,2.1990612934692084,1.84115488005467,1.8413259638807282,0.825428879289648,0.8254622707823979,0.6512638628381854,0.651318349566528
53,2.197421015033755,2.197421015033755,1.839938407515246,1.840107730935432,0.8259755130334278,0.826008578095873,0.6544553668842762,0.6545093237393913
54,2.1959900119153453,2.1959900119153453,1.8388675430888004,1.8390350795793713,0.8264359518722183,0.826468687090333,0.6571567950580863,0.6572102143007047
55,2.194744759663553,2.194744759663553,1.837927771290028,1.8380934946594996,0.8268242853147362,0.8268566868759308,0.6594438168654224,0.6594966933704254
56,2.193663585941898,2.193663585941898,1.83710529077982,1.8372691751366472,0.827152212261503,0.827184276016088,0.6613803534611347,0.6614326835760437
57,2.1927267481480803,2.1927267481480803,1.8363872000303347,1.8365492197536453,0.8274294598724127,0.8274611813879662,0.6630204077859905,0.6630721885242634
58,2.1919164246179275,2.1919164246179275,1.8357615967428729,1.835921726455982,0.8276641276581251,0.8276955022669844,0.6644096108865862,0.6644608393710243
59,2.1912166478959763,2.1912166478959763,1.835217615452538,1.8353758299989922,0.8278629700618466,0.8278939929021756,0.6655865272588503,0.6656372003503279
60,2.190613201146596,2.190613201146596,1.834745421901859,1.8349016963237788,0.8280316285691671,0.8280622946201746,0.6665837561731136,0.6666338702352671
61,2.190093493078661,2.190093493078661,1.8343361781715444,1.8344904876900523,0.8281748224665448,0.828205126578471,0.6674288606027988,0.6674784113652246
62,2.189646422411371,2.189646422411371,1.8339819889824711,1.8341343089800135,0.8282965057487928,0.8283264426682824,0.6681451506626862,0.668194133154385
63,2.189262239626151,2.189262239626151,1.8336758368245507,1.8338261428289335,0.8283999963229565,0.8284295607144055,0.6687523443626264,0.6688007528944931
64,2.1889324112926505,2.1889324112926505,1.833411511454924,1.8335597791249032,0.8284880825356953,0.8285172689991144,0.6692671249566837,0.6693149531372525
65,2.1886494904362475,2.1886494904362475,1.8331835377012835,1.8333297428135613,0.8285631111292635,0.8285919142151481,0.6697036111580237,0.6697508519308158
66,2.1884069950810745,2.1884069950810745,1.832987104294236,1.83313122273173,0.8286270599756173,0.828655474197261,0.6700737539339059,0.6701203996278717
67,2.18819929613944,2.18819929613944,1.8328179955466484,1.832960003287911,0.8286815983208862,0.8287096181645212,0.6703876714322159,0.6704337138191457
68,2.1880215151350693,2.1880215151350693,1.83267252702766,1.8328124001373383,0.828728136769216,0.8287557567023132,0.6706539317650981,0.6706993621196727
69,2.1878694317736422,2.1878694317736422,1.832547485889285,1.8326852005095202,0.8287678688252906,0.8287950833033096,0.6708797918364904,0.670924600995984
70,2.187739401055944,2.187739401055944,1.8324400761513329,1.8325756084940092,0.828801805481577,0.8288286089534133,0.6710713991049668,0.6711155775266141
71,2.1876282794253537,2.1876282794253537,1.8323478690021195,1.832481195341879,0.8288308040653127,0.8288571909776541,0.6712339620835353,0.6712774998983061
72,2.187533359321189,2.187533359321189,1.832268758002372,1.8323998546703206,0.8288555923398615,0.8288815571406353,0.6713718944615871,0.6714147815236486
73,2.187452311448856,2.187452311448856,1.8322009189677413,1.8323297623457815,0.8288767886757473,0.8289023258168111,0.6714889369636154,0.6715311628951389
74,2.187383134059204,2.187383134059204,1.832142774236204,1.8322693407519284,0.828894918960701,0.8289200228999072,0.671588260411356,0.6716298146425957
75,2.1873241085395634,2.1873241085395634,1.83209296098866,1.8322172271107542,0.8289104307991065,0.8289350960018504,0.6716725529110759,0.6717134247158293
76,2.187273760647985,2.187273760647985,1.8320503032752624,1.8321722455093659,0.8289237054542011,0.8289479263945446,0.6717440936293365,0.6717842721560119
77,2.187230826762949,2.187230826762949,1.8320137873998965,1.8321333822848762,0.8289350679071288,0.8289588390685778,0.671804815234831,0.6718442895334243
78,2.187194224568155,2.187194224568155,1.831982540325597,1.8320997644301937,0.8289447953421178,0.8289681112181183,0.6718563567592061,0.6718951158045262
79,2.187163027642199,2.187163027642199,1.8319558107809624,1.8320706407007725,0.82895312431394,0.8289759794081466,0.6719001083563656,0.6719381410678634
80,2.1871364434735314,2.1871364434735314,1.831932952768988,1.8320453651237474,0.8289602568102216,0.8289826456365856,0.6719372492094267,0.6719745444679822
81,2.1871137944702035,2.1871137944702035,1.831913411203257,1.832023382634397,0.8289663653853464,0.8289882824680597,0.6719687796403802,0.6720053263023904
82,2.1870945015806185,2.1870945015806185,1.8318967094206968,1.8320042165891468,0.8289715975131722,0.8289930373864984,0.671995548313864,0.6720313352229538
83,2.1870780701849606,2.1870780701849606,1.831882438344131,1.8319874579283402,0.8289760792814319,0.8289970364894529,0.6720182752884197,0.6720532912850763
84,2.1870640779569857,2.1870640779569857,1.8318702470910064,1.831972755785166,0.8289799185305532,0.8290003876268495,0.6720375715521394,0.6720718054815442
85,2.187052164432218,2.187052164432218,1.831859834846536,1.8319598093589795,0.828983207522945,0.8290031830702299,0.6720539555813043,0.6720873962996103
86,2.187042022051364,2.187042022051364,1.831850943839792,1.8319483608915577,0.8289860252149562,0.8290055017846774,0.672067867377609,0.6721005037568858
87,2.1870333884770896,2.1870333884770896,1.831843353279943,1.8319381896034805,0.8289884391921917,0.829007411364111,0.6720796803694477,0.6721115013014918
88,2.187026040008369,2.187026040008369,1.831836874126796,1.831929106464805,0.8289905073192749,0.8290089696810384,0.6720897115034936,0.6721207059026795
89,2.187019785939712,2.187019785939712,1.831831344585083,1.8319209496894666,0.8289922791471299,0.8290102262938326,0.6720982298027306,0.6721283866080539
90,2.1870144637328663,2.1870144637328663,1.8318266262256888,1.831913580856617,0.8289937971141569,0.8290112236479102,0.6721054636247485,0.6721347718011965
91,2.187009934886452,2.187009934886452,1.831822600649201,1.831906881574265,0.8289950975720525,0.829011998101559,0.6721116068183178,0.6721400553576825
92,2.187006081404552,2.187006081404552,1.8318191666180448,1.8319007506114988,0.8289962116623153,0.8290125808024535,0.6721168239459566,0.6721444018671906
93,2.1870028027789186,2.1870028027789186,1.8318162375930225,1.8318951014351035,0.828997166065506,0.8290129984369289,0.6721212547145795,0.6721479510637803
94,2.1870000134112404,2.1870000134112404,1.831813739618532,1.831889860094847,0.8289979836419951,0.8290132738707434,0.6721250177346197,0.6721508215847165
95,2.186997640412221,2.186997640412221,1.8318116095081416,1.8318849634091172,0.8289986839801119,0.8290134266972448,0.6721282137096486,0.6721531141598536
96,2.186995621723087,2.186995621723087,1.831809793288664,1.8318803574090532,0.8289992838652263,0.8290134737064688,0.6721309281429706,0.6721549143180481
97,2.186993904512844,2.186993904512844,1.831808244866549,1.8318759960049875,0.8289997976812832,0.8290134292866929,0.6721332336344964,0.6721562946838942
98,2.186992443811229,2.186992443811229,1.8318069248853424,1.8318718398439497,0.8290002377546025,0.8290133057682529,0.6721351918300427,0.6721573169269226
99,2.186991201343031,2.186991201343031,1.831805799747236,1.831867855331258,0.8290006146483087,0.8290131137179925,0.6721368550757547,0.6721580334159545
100,2.186990144534377,2.186990144534377,1.8318048407754643,1.831864013792952,0.8290009374145284,0.8290128621914774,0.6721382678223372,0.6721584886232875
101,2.1869892456658206,2.1869892456658206,1.8318040234975328,1.8318602907590535,0.8290012138104486,0.8290125589490717,0.6721394678169947,0.6721587203166143
102,2.186988481150693,2.186988481150693,1.8318033270320464,1.8318566653504254,0.8290014504834385,0.8290122106410768,0.6721404871152229,0.672158760570807
103,2.186987830920325,2.186987830920325,1.8318027335643248,1.8318531197544123,0.8290016531296851,0.8290118229663826,0.6721413529397219,0.6721586366268394
104,2.1869872779003887,2.1869872779003887,1.831802227898081,1.831849638776544,0.8290018266301414,0.8290114008084326,0.6721420884095609,0.6721583716209697
105,2.186986807564948,2.186986807564948,1.831801797072233,1.8318462094573673,0.8290019751670447,0.8290109483517554,0.6721427131592217,0.6721579852038112
106,2.186986407556727,2.186986407556727,1.831801430033458,1.831842820745021,0.829002102323785,0.8290104691818487,0.6721432438641723,0.6721574940659399
107,2.1869860673638164,2.1869860673638164,1.831801117356464,1.8318394632155233,0.8290022111705075,0.8290099663707945,0.6721436946870998,0.6721569123841652
108,2.1869857780444586,2.1869857780444586,1.8318008510050563,1.8318361288338545,0.829002304337489,0.8290094425506481,0.6721440776567934,0.6721562522004549
109,2.186985531992794,2.186985531992794,1.831800624128111,1.8318328107499442,0.8290023840780357,0.8290088999763481,0.6721444029898548,0.6721555237436893
110,2.186985322739486,2.186985322739486,1.8318004308853724,1.8318295031244811,0.8290024523223992,0.8290083405796431,0.6721446793638691,0.672154735702877
111,2.1869851447820525,2.1869851447820525,1.8318002662987527,1.8318262009802249,0.8290025107239924,0.8290077660153183,0.6721449141493695,0.6721538954591655
112,2.1869849934404826,2.1869849934404826,1.83180012612542,1.8318229000751023,0.8290025606990052,0.8290071777008209,0.6721451136068151,0.6721530092828644
113,2.186984864734393,2.186984864734393,1.8318000067494915,1.8318195967939113,0.8290026034603616,0.8290065768502258,0.6721452830538645,0.6721520825007635
114,2.186984755278504,2.186984755278504,1.8317999050896303,1.831816288055925,0.8290026400468258,0.8290059645033511,0.6721454270074276,0.6721511196382287
115,2.186984662193712,2.186984662193712,1.8317998185202145,1.8318129712360682,0.8290026713479486,0.8290053415507113,0.672145549304302,0.6721501245398805
116,2.1869845830314434,2.1869845830314434,1.8317997448040908,1.8318096440976779,0.8290026981254492,0.8290047087549068,0.6721456532036243,0.6721491004720868
117,2.1869845157093,2.1869845157093,1.8317996820352265,1.83180630473516,0.8290027210315395,0.829004066768955,0.6721457414738797,0.6721480502100113
118,2.186984458456317,2.186984458456317,1.8317996285898008,1.8318029515250878,0.8290027406246278,0.829003416152,0.6721458164667999,0.6721469761115493
119,2.1869844097664024,2.1869844097664024,1.831799583084502,1.8317995830845017,0.8290027573827758,0.829002757382776,0.6721458801801243,0.6721458801801242
