radius_bin,support_start,support_end,reserve_start,reserve_end,incoming_support,correlation_deficit,closure_drive,reserve_mass,memory_concentration,alpha,requested_transport,actual_transport,baseline_first_persist,adaptive_first_persist,baseline_final_n,adaptive_final_n,post_onset_centroid_baseline,post_onset_centroid_adaptive
3,6,17,19,119,0.15899233739180108,0.018542543448904047,0.002948122324130283,0.3169780852961339,0.3149002963773074,0.23111521422611075,0.00021597489572118038,0.00021597489572118038,5,5,1.831799583084502,1.8317995830845017,13.118305244629534,13.109399431546525
5,19,30,32,119,0.05588230166910839,0.018767674622368835,0.001048780854874885,0.1282072964343951,0.9271545858323519,0.29306634763494704,3.94060990741013e-05,3.94060990741013e-05,18,18,0.8290027573827758,0.829002757382776,26.228190107062623,26.224689102953867
6,32,43,45,119,0.08341645032626382,0.025562007073224202,0.0021322918932632114,0.07913211397917974,0.9707611090636022,0.3391871887619433,5.723199225802926e-05,5.723199225802926e-05,31,31,0.6721458801801243,0.6721458801801242,38.506650399424124,38.501166942338386
