radius_bin,onset_target,baseline_first_persist,adaptive_first_persist,target_final_n,baseline_final_n,adaptive_final_n,adaptive_minus_target,post_onset_centroid_baseline,post_onset_centroid_adaptive
2,4,4,4,2.1869844097664024,2.1869844097664024,2.1869844097664024,0.0,11.692398473348913,11.692398473348913
3,5,5,5,1.831799583084502,1.831799583084502,1.8317995830845017,-2.220446049250313e-16,13.118305244629534,13.10939943154657
5,18,18,18,0.8290027573827758,0.8290027573827758,0.829002757382776,1.1102230246251565e-16,26.228190107062623,26.22468910295386
6,31,31,31,0.6721458801801243,0.6721458801801243,0.6721458801801242,-1.1102230246251565e-16,38.506650399424124,38.501166942338386
