radius_bin,step,n_baseline,projected_visibility,winner_name,winner_prob,winner_prob_margin,entropy_rejection,winner_lock_stability,collapse_score_raw,collapse_score_rel,winner_changed_here
3,0,0.0036515617930634,0.001993428662601108,pair_upstream@0,0.9999291986029224,0.9999925467204315,0.9996809389892675,1.0,0.5007976732505586,0.5021873008868956,0
3,1,0.0104230102459041,0.005690038551241218,pair_upstream@0,0.9999291986029224,0.9999925467204315,0.9996809389892675,1.0,0.5026452438814528,0.5040399982093579,0
3,2,0.0227689462009204,0.012429823879841782,pair_upstream@0,0.9999291986029223,0.9999925467204315,0.999680938989267,0.6666666666666666,0.33734253181363316,0.33827859947161043,0
3,3,0.0444858140011487,0.024285306324950857,pair_upstream@1,0.9989346611440417,0.9980032050741175,0.9970623751613986,0.3333333333333333,0.16969187135140687,0.17016273718542937,1
3,4,0.0805800285790928,0.043989544119975695,pair_upstream@2,0.9988692537658082,0.9979557094781805,0.9968578104000144,0.6666666666666666,0.3458024156548585,0.34676195803928495,1
3,5,0.1361451578950452,0.07432317331665773,pair_upstream@2,0.997899938113033,0.9979972605024133,0.994298748532601,1.0,0.5319100372294113,0.5333859963387685,0
3,6,0.2142109464445331,0.11694016551947999,pair_upstream@2,0.976754333118533,0.9578790437017654,0.9598094659339492,0.6666666666666666,0.3343410492940568,0.3352687883529171,0
3,7,0.3138657033854662,0.17134281844129887,pair_upstream@3,0.9052460593806942,0.8135531115453374,0.8918209378982536,0.6666666666666666,0.2564442597523493,0.2571558485826623,1
3,8,0.4304493175103002,0.2349871249480507,pair_upstream@3,0.8771353213432675,0.7566038858593147,0.8727045311699987,1.0,0.35763073282946345,0.3586230967650176,0
3,9,0.5575495097926133,0.3043725497816039,pair_upstream@3,0.9012955725118729,0.8048174011437176,0.889789959142232,1.0,0.4209434450233826,0.4221114908745995,0
3,10,0.6889294606617382,0.3760943429746273,pair_upstream@3,0.9990517392920151,0.998546839946658,0.9971748987067616,0.6666666666666666,0.4563044607284835,0.45757062733244636,0
3,11,0.8194628723631544,0.44735400091250294,def_slope@0,0.8012414449360987,0.6026939243299424,0.8330946905146759,0.6666666666666666,0.19409220629472085,0.19463077887257269,1
3,12,0.9453210049589612,0.5160613713901236,def_slope@0,0.9865198212538374,0.9743171118682733,0.9751578778022097,1.0,0.7105061898398016,0.7124777226362328,0
3,13,1.06385237107386,0.5807689776203006,def_slope@0,0.9989849948263694,0.9981653059096595,0.9971375391744924,1.0,0.7858776010244214,0.7880582765576628,0
3,14,1.1733991715131349,0.6405718083725344,def_slope@0,0.9989013108983317,0.9980282973751179,0.9969232672516776,1.0,0.8152530251928226,0.8175152124890652,0
3,15,1.273138730405983,0.6950207556339185,def_slope@0,0.9988768482342628,0.9979854983679445,0.9968630986622905,1.0,0.8422028807452636,0.8445398492676807,0
3,16,1.362957794568526,0.744053993217285,def_slope@0,0.9701935005039639,0.9429460446256657,0.9530274260117276,1.0,0.7602921966524218,0.7624018770774563,0
3,17,1.4432916025147533,0.7879091227238177,def_slope@0,0.5308634587455011,0.062939177821832,0.7661808577788349,0.6666666666666666,0.015256656936657063,0.015298991542526294,0
3,18,1.514821497788368,0.8269580972590826,def_slope@1,0.5063579305089229,0.014361933520299042,0.7642904318349658,0.3333333333333333,0.001692412744998771,0.0016971089000493208,1
3,19,1.5781083373334917,0.8615070949384699,def_slope@2,0.5075718755247703,0.017312737180110345,0.7629754274219196,0.3333333333333333,0.002080114697908239,0.002085886659371642,1
3,20,1.633464733540511,0.8917267743827553,curv_def@3,0.876014064601326,0.754466544667232,0.8718573212746141,0.6666666666666666,0.3633570912378804,0.3643653448357172,1
3,21,1.681130342746636,0.9177479666825354,curv_def@3,0.8172198458000708,0.6366883179451979,0.8380547546416628,0.6666666666666666,0.2787458798295093,0.27951935182991205,0
