radius_bin,onset_target,collapse_score_rel_prev,collapse_score_rel_onset,collapse_score_rel_next,jump_prev_to_onset,jump_onset_to_next,first_threshold_cross,threshold_cross_offset_from_onset,threshold,leader_before_onset,leader_at_onset,leader_after_onset,winner_prob_at_onset,winner_prob_margin_at_onset,entropy_rejection_at_onset,winner_lock_stability_at_onset,peak_step,peak_delay_from_onset,exact_or_near_immediate,within_4_steps,leader_locked_at_onset
3,5,0.34676195803928495,0.5333859963387685,0.3352687883529171,1.5381906347316294,0.628566911493023,12,7,0.6203107262404466,pair_upstream@2,pair_upstream@2,pair_upstream@2,0.997899938113033,0.9979972605024133,0.994298748532601,1.0,41,36,False,False,True
5,18,0.23187234475050808,0.24342186232579496,0.5190274551936853,1.0498098105949816,2.132213804596107,22,4,0.8724921376023415,curv_def@3,curv_def@2,curv_def@0,0.9978754079092146,0.9979593507735599,0.9942416514328472,0.3333333333333333,24,6,False,True,False
6,31,0.4529524030734251,0.47745646199465724,0.5087005010348806,1.0540985294567604,1.0654385091127065,35,4,0.7544434832918412,curv_def@3,curv_def@3,curv_def@0,0.9988877536916886,0.9980062155802757,0.9968888016783894,0.6666666666666666,37,6,False,True,True
